11:38 동탄,알비노 60분,랔어뭅 60분,오드리 75분,마리오네뜨 75분,조흔남자 75분,,13여고괴담 60분,냥이점집 60분,세번째밤 60분,멍스타그램 60분,꿈의공장,오늘 나는,렛츠플레이
,3.4,3.6,4,3.1,3.7,,3.1,3.5,3.8,3.8,4,4.1,3.8
,60분,60분,75분,75분,75분,,60분,60분,60분,60분,60분,60분,60분
,,,,,뉴이스케이프홍대,,넥에신촌,룸익스케이프 블랙,셜록홈즈신촌,이스케이퍼스2호점,홍대던전,홍대던전,던전101
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,13:25,12:20,11:30,13:00,12:15,,13:20,15:00,13:40,13:30,13:10,,11:40
,14:40,13:50,13:00,14:30,14:00,,14:40,16:20,15:00,14:50,14:30,,13:00
,15:55,15:20,14:30,16:00,15:45,,16:00,17:40,16:20,16:05,15:50,,14:20
,17:10,16:50,16:00,17:30,17:30,,17:20,21:40,17:40,17:20,17:10,,
,18:25,18:20,19:00,19:00,19:15,,18:40,,19:00,18:35,18:30,18:50,17:00
,19:45,19:50,20:30,20:30,21:00,,20:00,,20:20,19:50,21:10,20:10,18:20
,21:00,21:20,22:00,22:00,,,,,21:40,21:05,22:30,21:30,19:40
,,,,23:30,,,,,,22:20,,22:50,21:10
